Block Size (MB),Test Number,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
500,1,0.005,1412.882,1412.949,0.017
500,2,0.005,1412.950,1412.918,0.015
500,3,0.004,1412.877,1412.874,0.017
500,4,0.004,1412.964,1412.894,0.017
500,5,0.004,1412.921,1412.952,0.017
500,6,0.005,1412.909,1412.881,0.016
500,7,0.005,1412.851,1412.929,0.016
500,8,0.005,1412.895,1412.909,0.016
500,9,0.004,1412.925,1412.832,0.015
500,10,0.004,1412.887,1412.893,0.016
500,11,0.005,1412.882,1412.826,0.017
500,12,0.005,1412.880,1412.930,0.016
500,13,0.004,1412.913,1412.875,0.016
500,14,0.004,1412.943,1412.870,0.016
500,15,0.004,1412.916,1412.892,0.017
500,16,0.005,1412.891,1412.899,0.017
500,17,0.005,1412.921,1412.907,0.016
500,18,0.005,1412.909,1412.889,0.017
500,19,0.005,1412.877,1412.903,0.017
500,20,0.005,1412.882,1412.859,0.016
500,21,0.005,1412.956,1412.876,0.017
500,22,0.004,1412.992,1412.898,0.016
500,23,0.005,1412.876,1412.937,0.017
500,24,0.005,1412.882,1412.907,0.017
500,25,0.005,1412.883,1412.868,0.017
500,26,0.005,1412.923,1412.870,0.017
500,27,0.004,1412.909,1412.874,0.014
500,28,0.004,1413.015,1412.927,0.017
500,29,0.004,1412.835,1412.832,0.008
500,30,0.002,1412.880,1412.925,0.016
500,31,0.005,1412.903,1412.902,0.017
500,32,0.005,1412.881,1412.872,0.016
500,33,0.004,1412.956,1412.867,0.017
500,34,0.005,1412.890,1412.908,0.015
500,35,0.005,1412.935,1412.903,0.017
500,36,0.005,1412.858,1412.896,0.018
500,37,0.005,1412.872,1412.840,0.017
500,38,0.005,1412.931,1412.877,0.017
500,39,0.004,1412.892,1412.890,0.016
500,40,0.004,1412.891,1412.940,0.015
500,41,0.004,1412.894,1412.911,0.016
500,42,0.004,1412.844,1412.970,0.017
500,43,0.005,1412.895,1412.904,0.016
500,44,0.005,1412.909,1412.890,0.017
500,45,0.004,1412.893,1412.884,0.016
500,46,0.004,1412.919,1412.930,0.016
500,47,0.004,1412.882,1412.949,0.016
500,48,0.005,1412.917,1412.922,0.017
500,49,0.004,1412.848,1412.822,0.011
500,50,0.004,1412.893,1412.906,0.016
500,51,0.005,1412.931,1412.874,0.017
500,52,0.004,1412.882,1412.856,0.015
500,53,0.005,1412.821,1412.917,0.016
500,54,0.005,1412.874,1412.901,0.017
500,55,0.004,1412.941,1412.945,0.016
500,56,0.004,1412.904,1412.915,0.018
500,57,0.005,1412.971,1412.865,0.016
500,58,0.005,1412.853,1412.912,0.016
500,59,0.005,1412.855,1412.865,0.011
500,60,0.004,1412.860,1412.868,0.016
600,1,0.018,1695.452,1695.515,0.016
600,2,0.005,1695.530,1695.456,0.015
600,3,0.004,1695.450,1695.472,0.017
600,4,0.005,1695.449,1695.478,0.018
600,5,0.004,1695.459,1695.480,0.018
600,6,0.004,1695.494,1695.507,0.018
600,7,0.005,1695.465,1695.500,0.018
600,8,0.004,1695.537,1695.487,0.018
600,9,0.005,1695.526,1695.513,0.016
600,10,0.005,1695.488,1695.505,0.019
600,11,0.005,1695.438,1695.444,0.018
600,12,0.004,1695.415,1695.453,0.018
600,13,0.005,1695.488,1695.474,0.016
600,14,0.005,1695.481,1695.496,0.017
600,15,0.004,1695.440,1695.436,0.018
600,16,0.005,1695.396,1695.459,0.017
600,17,0.005,1695.443,1695.488,0.018
600,18,0.005,1695.492,1695.492,0.018
600,19,0.005,1695.522,1695.470,0.018
600,20,0.005,1695.508,1695.509,0.012
600,21,0.004,1695.476,1695.471,0.018
600,22,0.005,1695.415,1695.470,0.016
600,23,0.004,1695.489,1695.457,0.018
600,24,0.005,1695.501,1695.509,0.018
600,25,0.005,1695.533,1695.426,0.017
600,26,0.004,1695.469,1695.477,0.018
600,27,0.005,1695.449,1695.500,0.017
600,28,0.005,1695.462,1695.449,0.018
600,29,0.005,1695.491,1695.442,0.018
600,30,0.005,1695.492,1695.423,0.017
600,31,0.005,1695.444,1695.478,0.016
600,32,0.004,1695.454,1695.565,0.018
600,33,0.004,1695.537,1695.469,0.017
600,34,0.004,1695.416,1695.470,0.018
600,35,0.005,1695.476,1695.515,0.017
600,36,0.005,1695.481,1695.383,0.018
600,37,0.004,1695.386,1695.546,0.017
600,38,0.005,1695.451,1695.466,0.017
600,39,0.005,1695.470,1695.448,0.018
600,40,0.004,1695.424,1695.438,0.018
600,41,0.004,1695.452,1695.554,0.017
600,42,0.004,1695.442,1695.536,0.018
600,43,0.004,1695.525,1695.481,0.018
600,44,0.005,1695.510,1695.517,0.015
600,45,0.004,1695.447,1695.529,0.018
600,46,0.005,1695.513,1695.440,0.017
600,47,0.004,1695.456,1695.478,0.011
600,48,0.003,1695.445,1695.524,0.017
600,49,0.005,1695.503,1695.494,0.015
600,50,0.004,1695.454,1695.513,0.018
600,51,0.005,1695.505,1695.506,0.017
600,52,0.005,1695.517,1695.522,0.017
600,53,0.005,1695.543,1695.516,0.019
600,54,0.005,1695.478,1695.535,0.018
600,55,0.004,1695.514,1695.485,0.018
600,56,0.005,1695.552,1695.442,0.018
600,57,0.005,1695.505,1695.455,0.018
600,58,0.005,1695.506,1695.522,0.017
600,59,0.005,1695.460,1695.465,0.018
600,60,0.005,1695.440,1695.466,0.018
700,1,0.019,1978.077,1978.056,0.015
700,2,0.004,1978.049,1978.073,0.018
700,3,0.005,1978.059,1978.026,0.018
700,4,0.005,1978.013,1978.042,0.017
700,5,0.005,1978.085,1978.074,0.019
700,6,0.004,1978.085,1978.064,0.016
700,7,0.004,1978.029,1978.066,0.014
700,8,0.003,1978.022,1978.019,0.018
700,9,0.005,1978.094,1978.027,0.019
700,10,0.004,1978.052,1978.062,0.017
700,11,0.004,1978.063,1978.018,0.018
700,12,0.004,1978.002,1978.068,0.017
700,13,0.005,1978.009,1978.024,0.018
700,14,0.004,1978.054,1977.978,0.018
700,15,0.004,1978.082,1978.100,0.018
700,16,0.004,1978.044,1978.041,0.018
700,17,0.005,1978.056,1978.054,0.018
700,18,0.004,1978.073,1978.052,0.018
700,19,0.004,1978.025,1978.034,0.016
700,20,0.004,1978.066,1978.059,0.018
700,21,0.005,1978.034,1978.074,0.019
700,22,0.004,1978.073,1977.983,0.018
700,23,0.005,1978.026,1978.065,0.019
700,24,0.005,1978.064,1978.036,0.019
700,25,0.005,1978.038,1978.023,0.018
700,26,0.004,1978.018,1978.057,0.017
700,27,0.004,1978.049,1978.079,0.015
700,28,0.004,1978.025,1978.028,0.018
700,29,0.004,1977.996,1977.970,0.019
700,30,0.004,1978.074,1978.046,0.018
700,31,0.005,1978.023,1978.074,0.018
700,32,0.004,1978.010,1978.110,0.018
700,33,0.005,1978.014,1978.071,0.019
700,34,0.005,1978.012,1977.991,0.019
700,35,0.004,1978.041,1978.003,0.019
700,36,0.005,1978.054,1978.036,0.020
700,37,0.005,1978.031,1978.063,0.018
700,38,0.005,1978.030,1978.018,0.019
700,39,0.004,1978.061,1978.060,0.018
700,40,0.005,1978.057,1978.086,0.019
700,41,0.004,1978.131,1978.034,0.018
700,42,0.004,1978.050,1978.064,0.018
700,43,0.005,1978.072,1978.062,0.018
700,44,0.004,1978.090,1978.091,0.018
700,45,0.004,1978.053,1978.076,0.017
700,46,0.004,1977.978,1978.027,0.017
700,47,0.004,1978.052,1978.080,0.018
700,48,0.004,1978.002,1978.006,0.018
700,49,0.004,1978.078,1977.988,0.019
